distrito;demanda
Água Rasa;379
Alto de Pinheiros;3
Anhanguera;0
Aricanduva;293
Artur Alvim;139
Barra Funda;201
Bela Vista;476
Belém;758
Bom Retiro;1251
Brás;1206
Brasilândia;64
Butantã;71
Cachoeirinha;126
Cambuci;598
Campo Belo;303
Campo Grande;234
Campo Limpo;82
Cangaíba;10
Capão Redondo;152
Carrão;75
Casa Verde;276
Cidade Ademar;154
Cidade Dutra;166
Cidade Líder;20
Cidade Tiradentes;134
Consolação;286
Cursino;43
Ermelino Matarazzo;237
Freguesia do Ó;101
Grajaú;157
Guaianases;199
Iguatemi;1
Ipiranga;451
Itaim Bibi;57
Itaim Paulista;149
Itaquera;308
Jabaquara;345
Jaçanã;236
Jaguara;12
Jaguaré;81
Jaraguá;30
Jardim Ângela;25
Jardim Helena;36
Jardim Paulista;212
Jardim São Luís;118
José Bonifácio;142
Lajeado;192
Lapa;297
Liberdade;429
Limão;137
Mandaqui;42
Marsilac;0
Moema;357
Mooca;1511
Morumbi;9
Parelheiros;40
Pari;1618
Parque do Carmo;79
Pedreira;39
Penha;368
Perdizes;27
Perus;118
Pinheiros;273
Pirituba;38
Ponte Rasa;109
Raposo Tavares;163
República;2656
Rio Pequeno;13
Sacomã;50
Santa Cecília;5006
Santana;1124
Santo Amaro;553
São Domingos;32
São Lucas;36
São Mateus;267
São Miguel Paulista;332
São Rafael;20
Sapopemba;44
Saúde;340
Sé;2149
Socorro;17
Tatuapé;339
Tremembé;61
Tucuruvi;66
Vila Andrade;114
Vila Curuçá;37
Vila Formosa;39
Vila Guilherme;760
Vila Jacuí;49
Vila Leopoldina;444
Vila Maria;428
Vila Mariana;275
Vila Matilde;66
Vila Medeiros;50
Vila Prudente;267
Vila Sônia;7
